dema	để mà
baonguoc	bạo ngược
bandao	bàn dao
banhbotdau	bánh bột đậu
badong	Ba Động
ankhonganhong	ăn không ăn hỏng
baotoc	bào tộc
anduong	ăn đường
batcannhantinh	bất cận nhân tình
banaobanhien	bán ảo bán hiện
ao-xo	ao-xơ
banhtrungthu	bánh trung thu
anloidong	An Lợi Đông
anquanghuu	An Quảng Hữu
aongangiuchangnendai	áo ngắn giũ chẳng nên dài
bantia	bắn tỉa
binhgia	binh gia
a-no-phen	a-nô-phen
annho	ăn nhờ
binhnghiep	binh nghiệp
bacthai	Bắc Thái
bombuombuom	bom bươm bướm
bamun	Ba Mùn
bihoai	bi hoài
bannuoc	bán nước
bieuduong	biểu dương
biengbiec	biêng biếc
aimo	ái mộ
baoton	bảo tồn
bacgiay	bạc giấy
bailinh	bái lĩnh
boithuong	bồi thường
banhxeo	bánh xèo
bau	bậu
am-mo-ni-ac	am-mô-ni-ắc
bo-bin	bô-bin
baohoa	bao hoa
bamuoisauchuoc	ba mươi sáu chước
bonmua	bốn mùa
ag	Ag
anap	An ấp
alao	á lao
bocoi	bồ côi
aihuuhoi	ái hữu hội
banbotauenhuong	bán bò tậu ễnh ương
bainieu	bài niệu
baoan	Bảo An
aogamvelang	áo gấm về làng
bophongsinh	bỏ phóng sinh
aogam	áo gấm
bachcong	bách công
baitinh	bài tính
boghi	bộ ghi
angiobotrau	ăn gio bọ trấu
bamgay	bấm gáy
baikhoa	bãi khóa
andat	ăn đất
bao	bào
besuon	bẹ sườn
amduongcachbiet	âm dương cách biệt
as	As
aonao	ảo não
bienluan	biện luận
benangchongtroi	bẻ nạng chống trời
banhkhoai	bánh khoái
bangchannhuvai	bằng chân như vại
ao	ao
bongbachcau	bóng bạch câu
achdui	ạch đụi
bangac	Ba Ngạc
antrenngoitroc	ăn trên ngồi trốc
auco	âu Cơ
banthan	bản thân
anxoichuangongmieng	ăn xôi chùa ngọng miệng
bieu	biếu
botham	bỏ thăm
bongdai	bóng đái
boithuc	bồi thực
balat	balat
antinhtheloi	ân tình thế lợi
boctroi	bốc trời
boihoan	bội hoàn
antinh	ân tình
batmohoidoibatcom	bát mồ hôi đổi bát cơm
bachphan	bách phân
bongthuytinh	bông thuỷ tinh
anngonmacdep	ăn ngon mặc đẹp
binhkhang	bình khang
bovixuli	bộ vi xử lí
bochieu	bó chiếu
beng	beng
bacthuy	Bắc Thuỷ
bonta	bọn ta
banhda	bánh đa
bienthan	biến thân
anbocdaidung	ăn bốc đái đứng
binhbien	binh biến
ansungtrangai	ăn sung trả ngái
amhieu	âm hiệu
anban	ăn bận
bachtuyet	bạch tuyết
bolo	bô lô
aovet	áo vét
bon-ne	bon-nê
biendich	biến dịch
auda	ẩu đả
ankilamdoi	ăn kĩ làm dối
binhmoiruoucu	bình mới rượu cũ
apdao	áp đảo
bongtien	bồng tiên
bonghuynh	bóng huỳnh
beque	bẻ quế
bacdau	Bắc Đẩu
baotrum	bao trùm
baolathiendia	bao la thiên địa
ac-cooc	ắc-coóc
benchacungkinhbenmecungvai	bên cha cũng kính, bên mẹ cũng vái
binhdiaphongba	bình địa phong ba
biudai	bìu dái
bobuoc	bó buộc
bangay	bàn gảy
biendinh	biên đình
bamuoitet	ba mươi Tết
bangla	Bàng La
bansondia	bán sơn địa
anhkim	ánh kim
ansau	ăn sâu
bangthach	băng thạch
bom-be	bom-bê
banghuyet	băng huyết
banui	bàn ủi
aoso-mi	áo sơ-mi
auyem	âu yếm
batlythan	bất ly thân
aoao	ào ào
bichson	Bích Sơn
baquyettam	ba quyết tâm
batmieng	bắt miếng
bansom	ban sớm
bonglai	Bồng Lai
amiu	ẩm ỉu
acidnitric	acid nitric
boiphuc	bội phục
bo-lang-tong	bờ-lăng-tông
batri	Ba Tri
baocao-su	bao cao-su
beou	béo ụ
benhkinhnien	bệnh kinh niên
anmanh	ăn mánh
ansanh	ăn sành
banam	Ba Nam
anchaolada	ăn cháo lá đa
binhvan	binh vận
beonuc	béo núc
banhhoi	bánh hơi
binhtrung	Bình Trung
anxoiothi	ăn xổi ở thì
anxai	ăn xài
baonuoc	bão nước
binhchieu	Bình Chiểu
bepga	bếp ga
bopmeo	bóp méo
aian	ái ân
bongkhe	Bồng Khê
bapbenh	bấp bênh
anconoichoicochon	ăn có nơi, chơi có chốn
boma	bom a
boithungansach	bội thu ngân sách
bangtuyet	băng tuyết
anduachuarau	ăn dưa chừa rau
baochuong	báo chương
boiech	bơi ếch
akim	á kim
annhontay	An Nhơn Tây
bacmyan	Bắc Mỹ An
am-pun	ăm-pun
bientro	biến trở
beurech	bệu rệch
basoihailanh	ba sôi hai lạnh
adong	á đông
anthan	an thần
boimau	bối mẫu
anmayannhat	ăn mày ăn nhặt
aobaba	áo bà ba
bietvoamtin	biệt vô âm tín
bachchunien	bách chu niên
bonphuongtroimuoiphuongphat	bốn phương trời, mười phương phật
binhsa	bình sa
autri	ấu trĩ
banmay	bàn máy
bietbaomake	biết bao mà kể
bihiem	bí hiểm
binhtam	Bình Tâm
banhxethunam	bánh xe thứ năm
atuc	A Túc
adu	a du
boingua	bơi ngửa
anhach	anh ách
bochehoakhi	bộ chế hoà khí
bican	bị can
bantoibanlui	bàn tới bàn lui
aonamthan	áo năm thân
an-to	an-tô
amem	ấm êm
anhhungcanhan	anh hùng cá nhân
banbao	bản báo
binhnham	Bình Nhâm
autrang	âu trang
auxi	ẩu xị
batgan	bắt gân
biettieng	biết tiếng
bencanh	bên cạnh
bongtoi	bóng tối
anhhungrom	anh hùng rơm
bietcu	biệt cư
battieu	bất tiếu
batkhoan	bắt khoán
baodai	Bảo Đại
bachdau	bạch đậu
am-pli	am-pli
ailuchoahoc	ái lực hoá học
bieudien	biểu diễn
aithan	ái thần
batthiep	bạt thiệp
boluy	bờ luỹ
bathieubatmuc	bất hiếu bất mục
amib	amib
ancaybungtai	ăn cáy bưng tai
a-dot	a-dốt
boong	boong
beainguoiaychong	bè ai người ấy chống
bienlieu	biện liệu
anthit	ăn thịt
bachhoa	bách hoa
bemeo	bẹ mèo
binhdiabadao	bình địa ba đào
bay	bầy
baudoan	bầu đoàn
bienam	biến âm
bongda	bông đá
anhhoa	anh hoa
baomombaomieng	bạo mồm bạo miệng
aipha	ải phà
bamieng	bã miệng
bongbong	bòng bong
bitmatbatde	bịt mắt bắt dê
baptay	bắp tay
amap	ăm ắp
antinh	an tĩnh
bietdau	biết đâu
bonbinh	bồn binh
banhquay	bánh quẩy
biendong	Biển Động
aoaonhuongvoto	ào ào như ong vỡ tổ
batminh	bất minh
biec	biếc
ayunpa	Ayun Pa
binhhuong	bình hương
banquoc	bản quốc
ainhiem	ái nhiễm
anthang	An Thắng
bannhuchokhong	bán như cho không
anboi	An Bồi
anchua	ẩn chứa
bancunhatphuong	bàn cứ nhất phương
batthong	bất thông
baytoi	bầy tôi
andat	an dật
andauonho	ăn đậu ở nhờ
ancapannay	ăn cắp ăn nảy
binhhangtay	Bình Hàng Tây
bachdai	bạch đái
boncua	bòn của
benlong	bên lòng
aulo	âu lo
biu	bìu
aotuong	ảo tưởng
bachthuoc	bạch thược
anhhunghaokiet	anh hùng hào kiệt
bochoi	bốc hơi
anchaodegaochovay	ăn cháo để gạo cho vay
bienchung	biện chứng
bonao	bộ não
boimep	bôi mép
botulenh	bộ tư lệnh
bienloan	biến loạn
banhquy	bánh quy
baoon	báo ơn
anthatlamdoi	ăn thật làm dối
bachnhanbachtinh	bách nhân bách tính
an-tora-xit	an-tÒra-xít
bonetcogiecui	bọ nẹt có giẻ cùi
binhlinh	binh lính
antinh	ân Tình
boduong	bố dượng
alu	A Lù
banxon	bán xon
binhtan	Bình Tân
ansongansit	ăn sống ăn sít
battacvi	bất tác vi
ankhong	ăn không
bacao	bá cáo
anco	ăn cỗ
booc-te	boóc-tê
anhang	ăn hàng
a-gon	a-gon
baophuc	báo phục
angcang	ẳng Cang
bongbay	bóng bay
anh-te-ruyp-to	anh-te-ruýp-tơ
bolao	bố láo
anle	An Lễ
beonhuconvam	béo như con vâm
bosua	bơ sữa
batkhatriluan	bất khả tri luận
bangtin	bẵng tin
boinho	bôi nhọ
balangan	Ba Làng An
aoluaquanhong	áo lụa quần hồng
apsuatkhongkhi	áp suất không khí
banrao	bán rao
binhluan	bình luận
amnhachoc	âm nhạc học
bienniensu	biên niên sử
bayviabahon	bảy vía ba hồn
angiaybobia	ăn giấy bỏ bìa
bacnhuoc	bạc nhược
bangtreo	băng treo
amdau	âm đầu
anthanthuphan	an thân thủ phận
apsuat	áp suất
battoibatva	bắt tội bắt vạ
bachtrietthienma	bách triết thiên ma
boiphan	bội phản
anhhunglaodong	anh hùng lao động
baybien	bay biến
baohiembatbuoc	bảo hiểm bắt buộc
bonphang	Bon Phặng
bacdai	bạc đãi
binhquoi	Bình Quới
amluat	âm luật
binhtuoi	bình tưới
banbuitredebuihop	bắn bụi tre, đè bụi hóp
banrong	bán rong
baongu	bào ngư
a-la-han	A-la-hán
acdao	ác đạo
belai	bẻ lái
binhdien	bình diện
baiboi	bãi bồi
benguoidoichoitreo	bé người đòi chơi trèo
acchien	ác chiến
aoluotquanla	áo lượt quần là
baroi	ba rọi
bangvideo	băng video
bich-qui	bích-qui
bantay	bàn tay
biettay	biết tay
binhnghia	Bình Nghĩa
anhiep	An Hiệp
aikhi	ái khí
bayvai	bày vai
bitum	bitum
annhoodau	ăn nhờ ở đậu
automat	automat
boonnhiet	bộ ổn nhiệt
bau	bầu
balem	ba lém
aobo	áo bó
banthietke	bản thiết kế
batdinh	bắt đinh
bacbackieuki	bắc bậc kiêu kì
biettai	biệt tài
bachdaukhau	bạch đậu khấu
boirua	bói rùa
bana	Ba Na
boclua	bốc lửa
beomep	bẻo mép
anco	ăn cỏ
bientich	biên tịch
bietdien	biệt điện
beotrucbeotron	béo trục béo tròn
ande	ăn dè
ancungmamnamcungchieu	ăn cùng mâm, nằm cùng chiếu
banhbeo	bánh bèo
bilattay	bị lật tẩy
an-te	an-te
benredamchoi	bén rễ đâm chồi
anlen	ăn lén
banmanh	bán manh
anlayande	ăn lấy ăn để
banxoay	bàn xoay
botxuyen	Bột Xuyên
bobay	bộ bảy
bachtuoc	bạch tuộc
angian	ăn gian
bauveo	bấu véo
amaamo	ấm a ấm ớ
battien	bát tiên
boxoiruongmat	bờ xôi ruộng mật
boion	bội ơn
bayluon	bay lượn
baysap	bẫy sập
beomaytanhop	bèo mây tan hợp
bienphong	biên phòng
boc-xo	bốc-xơ
bangkinh	băng kinh
binhtrinhdong	Bình Trinh Đông
batcau	bắt câu
betrong	bề trong
anloc	ăn lộc
banhumbuonsoi	bán hùm buôn sói
amoe	ấm óe
bachvi	bạch vi
batine	batinê
baison	Bài Sơn
bongbong	bong bóng
annhuhumdodo	ăn như hùm đổ đó
anquenbenmui	ăn quen bén mùi
anchatdedanh	ăn chắt để dành
binhtuy	Bình Tuy
batquan	bất quản
anmonkimloai	ăn mòn kim loại
andauanduoi	ăn đầu ăn đuôi
ap-phe	áp-phe
bathieu	bất hiếu
boloi	bỏ lỗi
anitngonnhieu	ăn ít ngon nhiều
anhoa	ân Hoà
bannguyen	Bản Nguyên
amvang	âm vang
bannatra	bàn nát ra
bothuoc	bỏ thuốc
bomoibatbong	bỏ mồi bắt bóng
antucnoiphet	ăn tục nói phét
boituong	bói tuồng
bongtieu	bông tiêu
bondai	bòn đãi
boiduong	bồi dưỡng
beta	beta
anbao	ăn báo
bandau	ban đầu
anhnhi	anh nhi
aiomimieugi	ái ố mĩ miều gì
bienchu	biên chú
baogom	bao gồm
bienlang	biển lặng
bamausaucon	ba máu sáu cơn
biencam	biến cảm
bamuoitet	ba mươi tết
aogiac	ảo giác
basinhhuonglua	ba sinh hương lửa
antucnoikhoac	ăn tục nói khoác
bocroi	bốc rời
bonnhuthocongbonvang	bòn như thổ công bòn vàng
apdien	áp điện
bi-da	bi-da
banvodocon	bán vợ đợ con
aphudung	ả phù dung
andamnamde	ăn dầm nằm dề
aosautotca	ao sâu tốt cá
bem	bem
bonba	bôn ba
binhhoadong	Bình Hoà Đông
banso	ban sơ
aogiaprom	áo giáp rơm
bachxa	Bạch Xa
baokhe	Bảo Khê
bonphuongtamhuong	bốn phương tám hướng
anchom	ăn chõm
banggia	bang gia
bangtruong	bang trưởng
ankhach	ăn khách
bachlong	Bạch Long
baytre	bầy trẻ
batrexauchuoi	bắt rễ xâu chuỗi
bongnaotrongay	bồng nào trống ấy
anthe	ăn thề
binhcongchamdiem	bình công chấm điểm
barie	barie
an-ten	an-ten
amdieu	âm điệu
apiu	ấp iu
a-ni-on	a-ni-ôn
bachluu	Bạch Lưu
anro	ăn rơ
banmomnuoimieng	bán mồm nuôi miệng
boiloi	bơi lội
banmuutinhchuoc	bàn mưu tính chước
baibinh	bại binh
baito	bái tổ
ammuu	âm mưu
bepmattroi	bếp mặt trời
bietchung	biết chừng
bothuoc	bộ thuộc
ba-dan	ba-dan
binhthongnhau	bình thông nhau
boxuyen	Bồ Xuyên
bobobombom	bo bo bỏm bỏm
bientiet	biến tiết
bich-quy	bích-quy
bangnang	băng nâng
bientuong	biến tướng
ao	ào
biet	Biêt
bangisat	ban gỉ sắt
bachhuyet	bạch huyết
beconchach	be con chạch
bobin	bôbin
bon-se-vichhoa	bôn-sê-vích hóa
baotapmuasa	bão táp mưa sa
ac-mo-ni-ca	ác-mô-ni-ca
baimien	bãi miễn
bahoaxichde	ba hoa xích đế
baiyet	bái yết
bantenkhongdich	bắn tên không đích
biengchoi	biếng chơi
binh	binh
anloat	ấn loát
bonxu	bôn xu
bangchung	băng chừng
aulac	âu Lạc
ba-do	ba-dơ
binhtinh	binh tình
anhdanh	anh danh
an-to-ra-xit	an-tơ-ra-xít
baogio	bao giờ
bohoang	bỏ hoang
bidon	bị đơn
baymui	bay mùi
bavuong	bá vương
baibai	bái bái
bodao	bồ đào
benhbe	bênh bè
annhuhophapcantrat	ăn như hộ pháp cắn trắt
bogiang	Bố Giang
angiau	ẩn giấu
aptai	áp tải
bankinhsatthuong	bán kính sát thương
banthoatli	bán thoát li
aida	ai dà
behe	bè he
bichqui	bích qui
benganquyetchi	bền gan quyết chí
ba-ke-lit	ba-ke-lít
biensoan	biên soạn
biennien	biên niên
anhhungkhongdatdungvo	anh hùng không đất dụng võ
bavi	Ba Vì
anquy	An Quý
bienchungphapduyvat	biện chứng pháp duy vật
bomuoivaomat	bỏ muối vào mặt
bongan	Bồng An
bachduong	bạch dương
baotapphongba	bão táp phong ba
banhphuclinh	bánh phục linh
baibinh	bãi binh
annam	ăn nằm
baothuc	báo thức
ai	ai
bangnhu	bằng như
bangvangbiada	bảng vàng bia đá
beomep	béo mép
bietthop	biết thóp
bapsu	bắp su
bencau	Bến Cầu
badaybaykhe	ba dãy bảy khê
anhoatay	An Hoà Tây
bongbang	bông băng
bangca	băng ca
bombay	bom bay
baico	bãi cỏ
binhson	bình sơn
ban	ban
baicho	bãi chợ
aobuongchungquandonggot	áo buông chùng, quần đóng gót
bibeng	bí beng
baodan	bạo dạn
banggiao	bang giao
bomuoi	Bó Mười
aocasa	áo cà sa
andeo	ăn đẽo
basao	Ba Sao
boitin	bội tín
babayhammotngay	ba bảy hăm mốt ngày
annhutamanroi	ăn như tằm ăn rỗi
binhthuyen	binh thuyền
anlu	An Lư
anhtrai	anh trai
anden	ăn đèn
binhroitramgay	bình rơi trâm gãy
boinhiem	bội nhiễm
anvien	An Viễn
bachquan	bách quan
bangxuongbangthit	bằng xương bằng thịt
baocua	bạo cửa
anphu	An Phụ
baymuoi	bảy mươi
banan	ban ân
bitruyen	bí truyền
binhvoi	bình vôi
benmat	bên mặt
amuong	ẩm ương
boludong	bờ lu dông
bentroigocbe	bên trời góc bể
biettin	biệt tin
bao	bao
amthoa	âm thoa
ac-e	ắc-ê
bachkhoatudien	bách khoa từ điển
baicao	bài cào
binhthuan	Bình Thuận
balasat	bà la sát
bietdauday	biết đâu đấy
betramluan	bể trầm luân
amian	amian
benngoai	bên ngoài
anquancoixay	ăn quẩn cối xay
bacruong	Bắc Ruộng
andungngoiroi	ăn dưng ngồi rồi
baibang	bài báng
bichthuy	bích thuỷ
baomenh	bảo mệnh
annhunam-havacdat	ăn như Nam-hạ vác đất
bansungchangnenphaidendan	bắn súng chẳng nên phải đền đạn
baotuthe	bào tử thể
baichientruong	bãi chiến trường
auom	à uôm
batbongbatgio	bắt bóng bắt gió
bantoimaytoimat	bận tối mày tối mặt
binhboong	bính boong
banvien	bán viên
anbonanmot	ăn bòn ăn mót
baoxoiuxoibaothituthit	bảo xôi ừ xôi, bảo thịt ừ thịt
ankeodau	ăn ké ở đậu
banvongnien	bạn vong niên
baomatphonggian	bảo mật phòng gian
beobong	bèo bồng
anda	an dạ
a-xitduong	a-xít đường
boitich	bồi tích
bovophaidam	bố vợ phải đấm
amnhan	âm nhấn
botmen	bột men
bensong	bến sông
benhtetuyen	bệnh Tề Tuyên
boan	bỏ ăn
bankhongkipmomat	bận không kịp mở mắt
bangdanhdu	bảng danh dự
banhdauxanh	bánh đậu xanh
aogamdaivang	áo gấm đai vàng
baomang	bảo mạng
baithom	Bãi Thơm
bathoa	bất hoà
bieulo	biểu lộ
baomua	bao mua
begiang	bế giảng
baora	bào rà
anquyet	án quyết
bacthang	bắc thang
bantrieu	bản triều
baohiemhonhop	bảo hiểm hỗn hợp
asean	ASEAN
biendoi	biến đổi
bo-mam	Bơ-mấm
batphuongtrinh	bất phương trình
bandem	ban đêm
amaamach	ấm a ấm ách
anchen	ăn chẹn
ang-ten	ăng-ten
bamgannatruot	bầm gan nát ruột
aodaichongaiquanthua	áo dài chớ ngại quần thưa
antaiantam	ăn tái ăn tam
binhphi	binh phí
bancualuoitrang	ban cua lưỡí trắng
angian	án gian
bocau	bồ câu
bentrongbenkhinh	bên trọng bên khinh
biumoibiumo	bĩu môi bĩu mỏ
batloi	bất lợi
aorachquanmanh	áo rách quần manh
banhbonglan	bánh bông lan
baolinh	bảo lĩnh
bentrong	bên trong
anhchi	anh chị
amnhiet	ẩm nhiệt
bancong	ban công
batgioi	bát giới
bachniengiailao	bách niên giai lão
bavobavat	bá vơ bá vất
baymuudatke	bày mưu đặt kế
baonhai	Bảo Nhai
anvochochay	ăn vóc học hay
anthu	án thư
bietdauchung	biết đâu chừng
bienminh	biện minh
balon	ba lơn
bannhuhui	bẩn như hủi
bantrang	ban trắng
bangtay	băng tay
batxampham	bất xâm phạm
bokhihuyet	bổ khí huyết
battai	bất tài
angiac	an giấc
bayve	bày vẽ
anhem	anh em
banvekithuat	bản vẽ kĩ thuật
bachtheluuphuong	bách thế lưu phương
apungnhungamhotthi	ấp úng như ngậm hột thị
banvinhcuu	bán vĩnh cửu
beurieu	bêu riếu
anuu	ân ưu
beou	béo ú
binhthanh	Bình Thanh
ancomhot	ăn cơm hớt
batgiong	bắt giọng
biudiu	bìu díu
anuy	an uỷ
becao	bề cao
baivong	bái vọng
anbongcaytung	ẩn bóng cây tùng
beubao	bệu bạo
bimson	Bỉm Sơn
bonba	bôn bá
anro	ăn rở
annhuthantrung	ăn như thần trùng
banhuu	bản hữu
bantheluan	bản thể luận
aitien	ái tiền
binhthanphucvi	bình thân phục vị
baobenh	bạo bệnh
anxomonieu	ăn xó mó niêu
batnhao	bát nháo
anha	An Hà
bahoi	bã hơi
aokhoac	áo khoác
bauham	bầu hâm
baunam	bầu nậm
biadat	bịa đặt
anvinh	An Vinh
bolihop	bộ li hợp
bomoi	bỏ mối
biettich	biệt tích
annhat	ăn nhặt
baohinh	bao hình
anbuasanglanbuatoi	ăn bữa sáng, lần bữa tối
baxoa	bã xõa
biettambiettich	biệt tăm biệt tích
anhai	ăn hại
bonam	bộ năm
boinghia	bội nghĩa
botbien	bọt biển
babua	ba búa
bancong	Ban Công
bonao	bổ não
boleboquang	bò lê bò quàng
a-xe-ton	a-xê-ton
antho	An Thọ
bopho	bơ phờ
bere	bê rê
baotrong	bảo trọng
antudaudandencuoidau	ăn từ đầu dần đến cuối dậu
bibo	bí bơ
boilap	bồi lấp
bandao	bàn đào
batlienlac	bắt liên lạc
bongtrang	bóng trăng
baudoanthetu	bầu đoàn thê tử
botongtulenh	bộ tổng tư lệnh
auhan	âu hẳn
binhdan	Bình Dân
binhphan	Bình Phan
batdien	bát diện
aotuong	ảo tượng
bauban	bầu bán
ahau	á hậu
banquatmuadongbanbongmuahe	bán quạt mùa đông, bán bông mùa hè
baba	ba ba
andanh	ẩn danh
anquan	ấn quán
baosinh	bảo sinh
ancoditruocloinuoctheosau	ăn cỗ đi trước, lội nước theo sau
amdong	Am Đồng
binhgioi	binh giới
aquan	á quân
bagia	bà già
beohoadau	bèo hoa dâu
baoboc	bao bọc
boichung	bội chung
benhnghenghiep	bệnh nghề nghiệp
aocanh	áo cánh
batdaison	Bát Đại Sơn
bale	balê
boingoi	bòi ngòi
ba-lat	ba-lát
baohomaudich	bảo hộ mậu dịch
baoluc	bạo lực
anbai	An Bài
aichacha	ái chà chà
bilau	bỉ lậu
biengiai	biện giải
babo	bà bô
bethuyen	be thuyền
andien	ân điển
behattieu	bé hạt tiêu
badaloc	Bá Đa Lộc
an	ân
bavai	bả vai
batviakinhhon	bạt vía kinh hồn
aodoquandieu	áo đỏ quần điều
batra	ba trá
bacvituyen	bắc vĩ tuyến
bietdang	biệt dạng
bongtrang	Bông Trang
anthanhnoilich	ăn thanh nói lịch
anphan	ăn phân
bida	bi da
bengiongquenhoi	bén giọng quen hơi
ancu	an cư
batvoamtin	bặt vô âm tín
anxuachuanay	ăn xưa, chừa nay
anocnoimo	ăn ốc nói mò
bannghia	bản nghĩa
aoomkhorach	áo ôm khố rách
baychuot	bẫy chuột
bienhoathanthong	biến hoá thần thông
bietviec	biết việc
batieu	ba tiêu
anduong	An Dương
bongvu	bong vụ
bando	ban đỏ
bilao	bí lào
ben-zen	ben-zen
baucan	Bàu Cạn
bobao	bổ báo
bongnguyet	bóng nguyệt
bennguyen	bên nguyên
batqua	bất quá
biky	bi ký
ba-hi	Ba-hi
bacotlendong	bà cốt lên đồng
apdoimoi	ấp đời mới
anhuyet	án huyệt
beoquay	béo quay
binhdaokhoilua	binh đao khói lửa
baoan	báo an
batcai	bắt cái
bangchan	bằng chân
annhau	ăn nhậu
apdieu	áp điệu
baothap	bảo tháp
ac-cooc	ác-coóc
andut	ăn đứt
bohu	bổ hư
bankhoang	Bản Khoang
bongloang	bóng loáng
banbithu	ban bí thư
bienphuong	biên phương
bodoi	bộ đội
acnhan	ác nhân
bongdau	bóng dâu
actang	ác tăng
ay	áy
boma	bom A
binhhoa	binh hoả
bacmay	bạc mày
bacso	Bắc Sơ
biemhoa	biếm hoạ
boike	bội kế
aorachvangiulaytrang	áo rách vẫn giữ lấy tràng
baochung	bảo chứng
binhdia	bình địa
bay	bay
bachkim	bách kim
battrang	Bát Trang
bocnhieu	Bộc Nhiêu
beoxu	béo xù
bieutinh	biểu tình
bannguyen	bản nguyên
bienthengonngu	biến thể ngôn ngữ
ac-ten	ác-ten
anhhungchunghia	anh hùng chủ nghĩa
amhao	âm hao
bangtich	băng tích
bangluonggiac	bảng lượng giác
besau	bề sâu
bonggio	bóng gió
baocao	báo cáo
bangrung	băng rung
ancuop	ăn cướp
amnhietke	ẩm nhiệt kế
amhieu	am hiểu
bo-xit	bô-xít
anguy	a nguỵ
anganuongmau	ăn gan uống máu
aulau	âu Lâu
babop	ba bớp
baohieu	Bảo Hiệu
banquang	bẩn quặng
bachcuongtam	bạch cương tàm
bachondoinoi	ba chốn đôi nơi
bobunsangao	bỏ bùn sang ao
bancamuithuyen	bán cá mũi thuyền
bapbenh	bập bênh
baungung	bầu ngưng
banlien	Bản Liền
beudau	bêu đầu
ammay	am mây
antuong	ân Tường
banon	ban ơn
anduc	An Đức
baochinh	bạo chính
bocuu	bổ cứu
bovia	bở vía
barem	ba rem
banthuongbanha	bán thượng bán hạ
ancuoi	ăn cưới
anduc	ân đức
baonai	bao nài
adi	A Di
bebangconkien	bé bằng con kiến
annogiamchuong	ăn no giậm chuồng
anham	ảnh âm
bieudo	biểu đồ
anda	ăn da
banduong	bạn đường
banbe	ban bệ
baocovien	bảo cô viện
a-ni-lin	a-ni-lin
banthang	bàn thang
bonbienmotnha	bốn biển một nhà
bailay	bãi lầy
be	bê
boihoat	bội hoạt
baclong	bạc lông
baohuynh	bào huynh
binhchuong	Bình Chương
beomam	béo mẫm
ancomthienha	ăn cơm thiên hạ
adhoc	ad hoc
bocmui	bốc mùi
ansesedeconvoi	ăn se sẻ đẻ con voi
ancomnhathoituvahangtong	ăn cơm nhà, thổi tù và hàng tổng
annhugauantrang	ăn như gấu ăn trăng
anthanh	An Thành
bongtrang	bông trang
banchong	bàn chông
baochay	bao chầy
benhtuong	bệnh Tưởng
bitmatthegian	bịt mắt thế gian
aoaocho	ào ào chó
ancam	ăn cám
bayluoi	bẫy lưới
aphien	a phiến
anchan	An Chấn
binhanvosu	bình an vô sự
baono	bao nỡ
baquan	bá quan
bamque	bấm quẻ
baynoibachim	bảy nổi ba chìm
bocuve	bồ cu vẽ
baybuom	bay bướm
bachdien	bạch điến
binhhien	Bình Hiên
achai	ác hại
batcan	bất can
aoao	ao ảo
amluong	âm lượng
bohoa	bỏ hoá
bacphong	Bắc Phong
bia	bia
anvuongbovai	ăn vương bỏ vãi
bitmiengbungtai	bịt miệng bưng tai
anchangnendoinoichangnenloi	ăn chẳng nên đọi, nói chẳng nên lời
bietgiao	biệt giao
beotamtia	bèo tấm tía
binhluong	binh lương
ancocophan	ăn cỗ có phần
aunoi	âu nổi
baithai	bãi thải
badon	Ba Đồn
aimuon	ai mượn
biachai	bia chai
a-xit	a-xit
biendo	biên độ
bamen	bạ men
anchaynammong	ăn chay nằm mộng
beomup	béo múp
bonhuvoi	bở như vôi
aolienruongca	ao liền ruộng cả
bepnuoc	bếp nước
bong	bong
anlot	ăn lót
bocbaidansang	bốc bải dần sàng
battham	bắt thăm
an-de-hit	an-đe-hít
banhuyet	bần huyết
bomhatnhan	bom hạt nhân
bancap	ban cấp
bachoa	Bắc Hoà
binhxuyen	Bình Xuyên
bonnoikhobendainoiquanhong	bòn nơi khố bện đãi nơi quần hồng
audanh	âu đành
bosua	bò sữa
baomat	bảo mật
aihoai	ai hoài
biet	biết
boicheo	bơi chèo
bothammuu	bộ tham mưu
axetilen	axetilen
aochet	áo chẹt
basinh	ba sinh
banchan	bàn chân
bobo	bo bo
aythema	ấy thế mà
anne	ăn nể
bamsinh	bẩm sinh
baukhongkhi	bầu không khí
boinhap	bội nhập
bode	bôđê
batquatambaban	bất quá tam ba bận
apchienluoc	ấp chiến lược
baynhieu	bấy nhiêu
bachbien	bạch biến
anthungtradau	ăn thúng trả đấu
biudiu	bíu díu
binhdodocao	bình đồ độ cao
anconhainoiconghi	ăn có nhai, nói có nghĩ
baygio	bây giờ
bapchuoi	bắp chuối
batchim	bắt chim
annhau	ăn nhau
bokhopa	Bồ Khô Pạ
badau	bã dầu
ancomnguoinamnhangoai	ăn cơm nguội, nằm nhà ngoài
banbia	bắn bia
bienthuy	biên thùy
antuong	ẩn tướng
bomua	bỏ mứa
acquy	ác quỷ
bongbauduc	bóng bầu dục
bottan	bột tan
aodaikhanxep	áo dài khăn xếp
bayba	bây bả
bamhuyet	bấm huyệt
binhluoc	binh lược
aophao	áo phao
aochoang	áo choàng
aoam	áo ấm
au	ẩu
bengoi	Bến Gối
anhhai	anh hai
bienthuy	biên thuỳ
batchuyen	bất chuyển
amnhac	âm nhạc
beoong	bèo ong
baugiac	bầu giác
bathoagiai	bất hòa giải
bangan	bằng an
bancai	Bản Cái
bamgio	bấm giờ
baitulong	Bái Tử Long
boibo	bồi bổ
bienmang	biện mang
anbinhb	An Bình B
